,Average across 4 services
Afghanistan,30.985
Albania,35.5625
Angola,32.1975
Armenia,26.38
Bangladesh,7.1025
Benin,13.61
Burkina Faso,13.6825
Burundi,6.95
Cambodia,4.81
Cameroon,30.215
Chad,19.86
Comoros,25.4375
﻿Republic of Congo,52.455
﻿Côte d'Ivoire,27.875
﻿Democratic Republic of the Congo,10.8775
Dominican Republic,71.58
Egypt,6.9475
Ethiopia,4.5975
Gabon,48.9275
Gambia,15.17
Ghana,35.02
Guatemala,6.29
Guinea,10.6825
Haiti,23.4425
Honduras,11.93
India,19.27
Indonesia,1.7225
Jordan,14.725
Kenya,21.305
Kyrgyzstan,18.0925
Lesotho,17.43
Liberia,27.4725
Malawi,14.28
Maldives,38.0375
Mali,1.6775
Mozambique,56.0725
Myanmar,20.5275
Namibia,27.01
Nepal,14.5325
Nigeria,26.935
Pakistan,17.3975
Papua New Guinea,19.84
Peru,17.51
Philippines,8.5975
Rwanda,1.62
Senegal,4.0175
Sierra Leone,15.44
South Africa,8.1125
Tajikistan,12.505
Tanzania,8.805
East Timor,13.7375
Togo,18.28
Uganda,9.7525
Yemen,27.58
Zambia,8.5375
Zimbabwe,13.69
